start_time,end_time,transfer,bandwidth
0.0,1.0,349 KBytes,2.86 Mbits/sec
1.0,2.0,346 KBytes,2.84 Mbits/sec
2.0,3.0,212 KBytes,1.74 Mbits/sec
3.0,4.0,358 KBytes,2.93 Mbits/sec
4.0,5.0,362 KBytes,2.97 Mbits/sec
5.0,6.0,192 KBytes,1.58 Mbits/sec
6.0,7.0,337 KBytes,2.76 Mbits/sec
7.0,8.0,349 KBytes,2.86 Mbits/sec
8.0,9.0,345 KBytes,2.83 Mbits/sec
9.0,10.0,578 KBytes,4.74 Mbits/sec
10.0,11.0,382 KBytes,3.13 Mbits/sec
11.0,12.0,382 KBytes,3.13 Mbits/sec
12.0,13.0,382 KBytes,3.13 Mbits/sec
13.0,14.0,509 KBytes,4.17 Mbits/sec
14.0,15.0,382 KBytes,3.13 Mbits/sec
15.0,16.0,382 KBytes,3.13 Mbits/sec
16.0,17.0,382 KBytes,3.13 Mbits/sec
17.0,18.0,382 KBytes,3.13 Mbits/sec
18.0,19.0,382 KBytes,3.13 Mbits/sec
19.0,20.0,382 KBytes,3.13 Mbits/sec
20.0,21.0,255 KBytes,2.09 Mbits/sec
21.0,22.0,382 KBytes,3.13 Mbits/sec
22.0,23.0,382 KBytes,3.12 Mbits/sec
23.0,24.0,509 KBytes,4.18 Mbits/sec
24.0,25.0,382 KBytes,3.12 Mbits/sec
25.0,26.0,509 KBytes,4.17 Mbits/sec
26.0,27.0,382 KBytes,3.13 Mbits/sec
27.0,27.09,127 KBytes,11.7 Mbits/sec
0.0,27.09,10.1 MBytes,3.12 Mbits/sec
0.0,27.13,9.82 MBytes,3.04 Mbits/sec
