start_time,end_time,transfer,bandwidth
0.0,1.0,402 KBytes,3.29 Mbits/sec
1.0,2.0,307 KBytes,2.51 Mbits/sec
2.0,3.0,594 KBytes,4.87 Mbits/sec
3.0,4.0,659 KBytes,5.40 Mbits/sec
4.0,5.0,536 KBytes,4.39 Mbits/sec
5.0,6.0,324 KBytes,2.65 Mbits/sec
6.0,7.0,400 KBytes,3.28 Mbits/sec
7.0,8.0,474 KBytes,3.88 Mbits/sec
8.0,9.0,532 KBytes,4.36 Mbits/sec
9.0,10.0,454 KBytes,3.72 Mbits/sec
10.0,11.0,382 KBytes,3.13 Mbits/sec
11.0,12.0,382 KBytes,3.13 Mbits/sec
12.0,13.0,509 KBytes,4.17 Mbits/sec
13.0,14.0,318 KBytes,2.61 Mbits/sec
14.0,15.0,573 KBytes,4.69 Mbits/sec
15.0,16.0,445 KBytes,3.65 Mbits/sec
16.0,17.0,318 KBytes,2.61 Mbits/sec
17.0,18.0,445 KBytes,3.65 Mbits/sec
18.0,19.0,382 KBytes,3.13 Mbits/sec
19.0,20.0,573 KBytes,4.69 Mbits/sec
20.0,21.0,382 KBytes,3.13 Mbits/sec
21.0,22.0,318 KBytes,2.60 Mbits/sec
22.0,23.0,191 KBytes,1.57 Mbits/sec
23.0,23.99,382 KBytes,3.15 Mbits/sec
0.0,23.99,10.0 MBytes,3.51 Mbits/sec
0.0,24.03,9.89 MBytes,3.45 Mbits/sec
